zip,private,uninsured,public,private_only,employment,employed_only,directpurchase,directpurchase_only,military,military_only,public_alone,medicare,medicare_alone,medicaid,medicaid_alone,va,va_only
98612,69.8,9.9,48.1,40.7,45.5,35.9,27.1,4.8,2.2,0,16.5,34.2,3.6,20.4,12.9,1.6,0
98613,67.1,16.8,26.5,55.4,57.5,49.4,12.1,6,0,0,14,13.5,2.2,16.7,11.7,1.1,0
98614,58.6,32.8,26.3,40.9,29.8,29.8,28.8,11.1,0,0,8.6,26.3,8.6,0,0,0,0
98616,86,6.5,69.4,18.3,72.6,4.8,12.9,7,6.5,6.5,7.5,61.8,0,12.9,7.5,23.1,0
98617,73.4,8.1,47.9,42.4,52.8,42.4,22.4,0,0.6,0,15.1,38.1,9.8,9,4.3,4.2,1
98619,48.3,22.1,45,30.8,30.2,22.9,20.9,7.9,2.1,0,28.9,18,5.8,26.7,23.1,2.7,0
98620,55.8,13.4,46.7,36.8,39.1,28.4,20.5,6.6,3.5,1.7,26.4,25,7.5,24.2,17.6,5.8,1.4
98621,66.3,14.4,38,47.6,57,47.6,9.3,0,0,0,17.8,20.7,2,16.3,15.7,2.4,0
98624,58.5,14.8,40.9,43.1,39.2,29,11.2,5.6,9.7,8.4,22.6,20.5,3.6,19.4,15.1,8.6,3.9
98625,66.6,12.1,39.5,46.8,50.6,40.9,18.1,5.2,2.2,0.6,19.6,19.8,2.2,20.4,17.1,4.6,0.4
98626,59.4,12.8,42.2,43.5,48.2,38.7,12.5,3.7,2.8,1.1,25.3,16.9,3.8,27.8,20.5,3.5,1
98628,56.7,20.8,38,40.7,47,36.1,11.6,4.6,0,0,20.1,24.7,8.7,18.6,11.4,5.6,0
98629,81,7.7,23.9,66.2,63.8,56.4,17.9,8.4,3.5,1.4,8.8,13.4,2.4,11.1,6,3.2,0.4
98631,54.1,15.6,51.4,31.4,33.3,23.9,22.1,5.5,4.2,1.9,23.6,32.9,6.9,24.2,16.4,5,0.3
98632,59.5,12.6,43.7,42,47.9,37.7,13.9,4,2.6,0.4,24.4,20.5,4.7,26.4,19.3,3.4,0.4
98635,67.1,18.5,43.3,37.7,34.3,25.3,33.4,11.1,2.4,1.3,13.8,32.3,8,11.5,4.9,2.5,0.9
98638,70.5,15.4,30,50.6,45.4,35.2,25.9,13.4,4.2,2,11.8,23.6,6.7,9.4,4.9,3.1,0.2
98639,68.9,6,41.6,50.7,56,43.7,16.1,7.1,0,0,20.3,25.6,6.1,22.3,14.2,2.4,0
98640,54.7,12.5,66.6,20.1,27.6,14.2,26.5,5.8,2.1,0,24.9,48,8.6,24.4,16.1,8.2,0.2
98641,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98642,79.6,8.2,26.5,64.4,66.6,57,13.7,6.6,1.8,0.8,10.4,17.5,4.9,10.8,5.4,1.8,0.2
98643,58,16.5,47,34.9,46.6,33.9,20,0.9,2.1,0,21.6,30,4.6,19,13.1,7.3,3.9
98644,48.5,46.7,12.1,29.9,41.1,29.9,7.4,0,11.2,0,0,12.1,0,4.7,0,5,0
98645,70.2,16.8,36.2,45.9,56.7,43,14,2.8,2.3,0,11.7,25.6,3.3,13.2,7.9,5.4,0.6
98647,58.7,13,62.8,24.3,44.5,15.8,15.8,8.5,5.7,0,25.5,40.5,8.5,25.5,17,10.9,0
98648,65.7,15.3,34.6,47.8,51.9,41.6,17.2,5.5,2,0.6,15.8,19,3.8,17.5,11.8,3.8,0.3
98649,76.7,7.7,26,65.8,65.1,59.1,9.4,3.7,4.8,3,12.6,14.4,3.6,13.3,9.1,3.5,0
98650,71.7,7,41.6,46.5,46.7,32.2,31.2,14.3,0.2,0,18.9,21.2,4.2,22,14.7,2.2,0
98651,56.4,19.7,41.4,35.3,39.3,27.1,18.4,6.9,5.2,1.2,22.6,17.6,3.3,26.7,19.2,1.2,0.1
98660,59.1,14.9,36.2,47.3,47.4,40.1,12.1,5.9,2.3,1.3,22.2,15.9,4.5,23.9,17.3,2.8,0.4
98661,52.3,18.7,40.2,40.1,43.7,36.6,9.2,3.1,1.8,0.4,25.5,13.9,3.1,28.6,21.6,2.6,0.8
98662,64,14.6,34.1,49.5,53.9,44.7,11.7,4.2,2.3,0.6,19.5,15.1,3.7,20.2,15.1,3.3,0.7
98663,61.6,13.7,38.1,46.4,51.7,42.6,10,3.2,3.1,0.6,22.9,15.4,4.1,23,17.7,3.7,1.1
98664,66.1,15.6,33.8,49,53.1,42.6,14.9,5.7,2.8,0.7,16.1,17.6,3.1,18.6,12.1,3.9,0.9
98665,65.7,13.8,34.8,49.4,54.9,44.7,11.2,3.6,3.3,1.1,18.1,17,3.4,19.8,14,2.8,0.6
98670,19.8,14.3,74.7,11,15.4,11,4.4,0,0,0,61.5,27.5,14.3,47.3,42.9,4.4,4.4
98671,71.7,13.1,27,57.4,60.8,52,13.7,5,1.9,0.4,13.8,14.2,3.9,13.2,9.6,2.3,0.3
98672,67.3,11.4,35.6,51.4,50.8,43.1,18,7,3.7,1.4,19.3,18.6,3.2,19.1,16.1,1.2,0
98673,50.2,15.9,49.8,30.3,35.5,25.6,17.1,4.5,3.6,0.2,25.1,28,4,30.1,20.9,3.3,0.2
98674,66.1,14.2,30.5,53.6,54.6,46.5,13.4,6.3,1.4,0.8,17.6,14.2,3.8,17.2,13.4,3.7,0.4
98675,69.2,10.7,35.1,50.1,52.2,40.1,20.9,9.6,1.6,0.4,18.3,11.3,1.4,24.9,16.5,2.9,0.4
98682,65.3,15.5,29,53.8,57.1,49.7,8.5,3.4,2.7,0.7,17.6,10.2,2.1,19.6,15.1,2.2,0.4
98683,71.9,11.1,30.6,56.1,61.7,51.3,12.3,4.1,3.1,0.6,15,18.2,4.8,13.7,9.9,2.6,0.3
98684,69.7,11.1,31.1,55.7,59.7,50.5,10.7,4.3,3.2,0.9,17.6,12.1,3.4,18.7,13.8,2.9,0.4
98685,78.6,7.8,25.7,64.3,63.7,54.3,15.9,7.9,3.7,2.1,12.2,14.6,3.5,11.2,8.5,2.3,0.2
98686,76.7,8.9,26.8,62.9,66.3,57.3,11.7,5.2,0.9,0.4,13.7,11.6,1.6,14.7,11.8,2.7,0.2
98801,62.1,19.5,36,37.5,52.1,33.2,18.5,4,1.7,0.2,16.8,17.1,3.7,21.9,12.9,1.7,0.2
98802,59.8,17.4,36.4,44.9,49.1,40.9,12.1,3.7,1.7,0.3,21.2,16.6,4.5,21.9,16.4,1.9,0.2
98811,90.8,0,9.2,90.8,82.8,82.8,8,8,0,0,0,9.2,0,9.2,0,0,0
98812,34.1,32.6,41.2,25.6,25.7,20.6,9,4.9,0.6,0.1,32.1,11.9,3.3,32.4,28.8,0.1,0.1
98813,22.3,38.1,48,13.5,13.9,10.4,8.7,2.8,0.6,0.3,36.4,13.5,3.1,37.3,33.2,1.9,0.1
98814,39.4,38,29.3,32.8,39.4,32.8,0,0,0,0,22.6,12.2,5.5,20,17.1,0,0
98815,64.5,18.8,32.9,45.7,54.1,41.4,16.4,4.3,1.1,0,14.5,17.7,3.9,17.7,10.4,1.5,0.2
98816,57.4,23.8,37.8,29.4,43,21.7,23.4,7.7,3.7,0,16.9,21.6,6.5,19.1,10.3,1.4,0
98817,57.1,17.2,42.9,35.2,53.4,31.5,12.4,3.7,0,0,25.6,13.3,0,29.6,25.6,0,0
98819,69.3,11.1,49.7,39.2,35.9,31.4,35.9,7.8,3.9,0,15.7,43.1,9.2,14.4,5.2,3.9,1.3
98821,64.5,0,52.9,30,64.5,30,17.1,0,0,0,35.5,0,0,52.9,35.5,0,0
98822,70,16.5,35,37.9,61.6,34.7,21.5,1.8,2.2,1.4,12.5,20.8,4.3,16.7,7.5,1.8,0.7
98823,61,11,39.5,49.3,51.7,44.2,9.4,4.9,1.1,0.2,25.7,14.5,4.3,27.3,21.4,1.5,0
98824,15.9,36.9,48.1,15,9.5,8.6,6.4,6.4,0,0,47.2,0.9,0,46.4,46.4,0.9,0.9
98826,61.6,19.5,43.3,29.6,46.8,23.1,26.5,5.3,4.7,1.2,17.7,27.5,5.2,19.2,12.3,2.7,0.2
98827,17.5,35.1,55.5,9.5,13.6,9.5,6.7,0,2.5,0,46.2,37.6,28.3,20.6,17.9,0,0
98828,66.2,17.3,27.6,41.6,61.6,38.4,18.9,3.1,0.7,0,13.4,15,2.9,16.5,10.5,0.7,0
98829,60.7,20.4,32.1,47.5,44.7,44.7,6.5,2.8,9.5,0,18.9,16.8,3.6,15.3,15.3,0,0
98830,78.9,10.1,31,52.5,57.4,42.6,27.4,9.9,1.6,0,10.3,24.9,5.1,7.3,5.1,1.6,0
