cost,costval,quality,incomeval,income,insured,adjudicated_location_id,description,procedure_code,no_procedures
0.9581,95.322,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9581,95.322,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9581,95.322,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9551,90.07,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9551,90.07,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9551,90.07,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9551,90.07,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9534,87.986666,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9534,87.986666,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9534,87.986666,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9534,87.986666,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.951,85.913333,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.951,85.913333,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.951,85.913333,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.951,85.913333,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9507,85.56,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9507,85.56,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9507,85.56,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9507,85.56,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9507,85.56,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9507,85.56,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9507,85.56,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9507,85.56,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
0.9473,81.52,0.58,66092,52.7111,0.6952,78,Chest x-ray 2vw frontal&latl,71020,204759
0.9473,81.52,0.58,66092,52.7111,0.6952,78,Chest x-ray 2vw frontal&latl,71020,204759
0.9473,81.52,0.58,66092,52.7111,0.6952,78,Chest x-ray 2vw frontal&latl,71020,204759
0.9473,81.52,0.58,66092,52.7111,0.6952,78,Chest x-ray 2vw frontal&latl,71020,204759
0.9447,78.87,0.39,40921,52.7111,0.6952,78,Chest x-ray 2vw frontal&latl,71020,204759
0.9447,78.87,0.58,66092,52.7111,0.6952,78,Chest x-ray 2vw frontal&latl,71020,204759
0.9447,78.87,0.58,66092,52.7111,0.6952,78,Chest x-ray 2vw frontal&latl,71020,204759
0.9447,78.87,0.58,66092,52.7111,0.6952,78,Chest x-ray 2vw frontal&latl,71020,204759
0.9433,77.39,0.45,47826,27.6222,0.5013,894,Chest x-ray 2vw frontal&latl,71020,204759
0.9433,77.24,0.45,47962,52.2,0.6582,856,Chest x-ray 2vw frontal&latl,71020,204759
