avgAmount,cost_percentile,quality,no_procedures_location,no_proc_percentile,income_percentile,no_procedures,description
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
163.453333,0.6195,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
163.453333,0.6195,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
309.1,0.8447,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
163.453333,0.6195,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
309.1,0.8447,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
309.1,0.8447,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
309.1,0.8447,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
209.25,0.7045,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
343.45,0.8851,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
209.25,0.7045,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
343.45,0.8851,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
209.25,0.7045,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
343.45,0.8851,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
209.25,0.7045,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
343.45,0.8851,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
0,0,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
0,0,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
0,0,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
0,0,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
309.85,0.847,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
309.85,0.847,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
309.85,0.847,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
309.85,0.847,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
