avgAmount,cost_percentile,quality,no_procedures_location,no_proc_percentile,income_percentile,no_procedures,description,procedure_code
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
314.16,0.8545,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
314.16,0.8545,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
314.16,0.8545,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
314.16,0.8545,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
67.165,0.2527,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
67.165,0.2527,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
67.165,0.2527,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
67.165,0.2527,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
270.99,0.7776,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
270.99,0.7776,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
270.99,0.7776,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
270.99,0.7776,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
290.07,0.8117,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
290.07,0.8117,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
290.07,0.8117,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
290.07,0.8117,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
294.86,0.8187,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
294.86,0.8187,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
294.86,0.8187,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
294.86,0.8187,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
432.365,0.9242,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
432.365,0.9242,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
432.365,0.9242,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
432.365,0.9242,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
459.54,0.9287,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
459.54,0.9287,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
459.54,0.9287,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye,70450
