GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20
Id,Id2,Geography,Total; Estimate; All households,Total; Margin of Error; All households,Mean income (dollars); Estimate; All households,Mean income (dollars); Margin of Error; All households,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population
8600000US98255,98255,ZCTA5 98255,76,29,37770,10432,196,89,15496,5554
8600000US98256,98256,ZCTA5 98256,261,59,48568,12498,510,121,25532,6186
8600000US98257,98257,ZCTA5 98257,1749,91,65164,3361,4099,294,28611,2241
8600000US98258,98258,ZCTA5 98258,10861,364,86300,3373,31952,1138,30028,1166
8600000US98260,98260,ZCTA5 98260,2457,184,84726,9702,5516,515,37743,4807
8600000US98261,98261,ZCTA5 98261,1248,64,68855,4213,2497,141,33931,2477
8600000US98262,98262,ZCTA5 98262,508,74,68495,9198,1079,175,32660,4235
8600000US98263,98263,ZCTA5 98263,27,12,56437,26949,60,30,24578,8328
8600000US98264,98264,ZCTA5 98264,6692,318,68254,3704,18096,870,25799,1526
8600000US98266,98266,ZCTA5 98266,1369,233,51952,8425,4043,918,18094,3122
8600000US98267,98267,ZCTA5 98267,262,93,39310,13898,516,183,21220,6753
8600000US98270,98270,ZCTA5 98270,17006,363,73510,2659,47288,679,27289,1146
8600000US98271,98271,ZCTA5 98271,9818,282,76221,2518,27806,922,27878,1133
8600000US98272,98272,ZCTA5 98272,8650,337,88833,3776,29049,613,27978,1339
8600000US98273,98273,ZCTA5 98273,10467,356,64104,3690,29963,1021,23227,1440
8600000US98274,98274,ZCTA5 98274,6364,289,76251,6720,17051,740,29258,2844
8600000US98275,98275,ZCTA5 98275,7975,252,112877,6103,20635,37,44676,2562
8600000US98276,98276,ZCTA5 98276,173,48,65927,7480,625,247,18871,4471
8600000US98277,98277,ZCTA5 98277,15437,409,65997,3861,37706,732,27344,1561
