zip,household_totalno,families_no,median_house_income,median_house_income_errormargin,mean_house_income,mean_house_income_errormargin,median_percentile,,,
98337,2730,1263,34299,5301,45769,4606,22.63,,,
98338,8669,6421,68104,3783,76614,3447,38.15,,,
98339,1344,793,32075,5089,41674,5081,21.23,,,
98340,1201,775,65586,20515,77145,11924,37.35,,,
98342,609,397,65875,10184,83779,10170,37.44,,,
98345,227,220,82532,48198,83569,17220,41.75,,,
98346,3875,3002,69625,11000,78726,5522,38.61,,,
98349,1749,1163,52339,4990,67038,8838,32.22,,,
98350,130,111,40500,14819,45025,8836,26.29,,,
98351,433,334,53050,18894,64401,18510,32.54,,,
98353,13,13,-,**,N,N,#VALUE!,,,
98354,2833,1846,67485,6805,87624,15997,37.96,,,
98355,287,152,34544,11689,71577,34886,22.79,,,
98356,914,606,35929,3290,44186,5380,23.63,,,
98357,488,343,35667,9879,54219,9595,23.47,,,
98358,463,335,60647,6856,66529,10105,35.62,,,
98359,1696,1311,68977,10627,79221,8274,38.41,,,
98360,4054,3215,76500,4255,80610,4267,40.45,,,
98361,605,410,35208,8922,54164,19850,23.19,,,
98362,9890,5720,46540,3756,58550,2615,29.48,,,
98363,5548,3595,48398,2586,58977,4057,30.39,,,
98364,32,32,-,**,N,N,#VALUE!,,,
98365,2050,1464,62143,10050,77834,8738,36.16,,,
98366,12555,8360,57413,2171,68704,3405,34.37,,,
98367,10154,7731,73811,4626,82096,3730,39.77,,,
98368,7206,3796,44085,4722,59631,4160,28.23,,,
98370,11448,7823,70738,3617,84069,4172,38.93,,,
98371,8045,5188,66067,3213,77405,3664,37.50,,,
98372,9004,5922,63121,4392,79145,3861,36.51,,,
98373,8803,6197,61228,3429,73406,3485,35.83,,,
98374,13434,9969,76880,3161,85951,2890,40.54,,,
98375,9239,7261,71132,4844,81645,4137,39.04,,,
98376,829,520,49125,4811,68197,10801,30.74,,,
98377,839,486,29846,13119,39837,6486,19.77,,,
98380,1856,1209,76458,15316,93493,15131,40.44,,,
98381,204,141,53409,16457,55465,13143,32.70,,,
98382,12337,7322,48228,1931,61272,2656,30.31,,,
98383,8508,5365,62113,3421,79797,4309,36.15,,,
98385,134,100,70227,5889,71735,14120,38.78,,,
98387,14737,11174,63994,3508,70928,2764,36.81,,,
98388,2682,1846,57880,6923,83326,7237,34.55,,,
98390,4221,2549,54522,5510,69596,5017,33.17,,,
98391,15457,12082,81918,2366,94450,2877,41.63,,,
