zip,household_totalno,families_no,median_house_income,median_house_income_errormargin,mean_house_income,mean_house_income_errormargin,median_percentile,,,
98430,4,4,-,**,N,N,,,,
98433,3817,3674,48869,3539,54172,3380,,,,
98438,8,8,-,**,N,N,,,,
98439,1864,1225,35590,5170,41449,3608,,,,
98443,2235,1517,61307,6014,77171,5211,,,,
98444,12724,7715,39743,1924,48758,2756,,,,
98445,10837,7695,59135,4587,67671,3214,,,,
98446,3751,2605,64163,5703,75876,7488,,,,
98447,0,0,-,**,-,**,,,,
98465,3082,1474,46857,11430,68730,7847,,,,
98466,11304,7058,54010,3006,71543,3537,,,,
98467,6374,4469,60125,6146,76031,5312,,,,
98498,11175,6813,56133,2710,70399,3311,,,,
98499,12480,6870,39046,2516,53923,2960,,,,
98501,16702,11030,67384,2963,80700,3551,,,,
98502,12686,7298,62475,4756,77434,4053,,,,
98503,14667,9036,57198,2961,65793,3141,,,,
98506,7828,4282,60079,4795,73869,4518,,,,
98512,11120,7651,66517,4548,77143,3318,,,,
98513,12115,9130,68651,3977,77635,3045,,,,
98516,8572,6056,68118,7041,85087,4174,,,,
98520,8100,5163,42790,2238,55484,2914,,,,
98524,1352,1063,56852,11485,68377,10426,,,,
98526,114,80,43750,5905,54916,11856,,,,
98527,123,76,45625,37377,52893,27127,,,,
98528,3499,2481,54621,6203,62092,5587,,,,
98530,216,156,35000,19029,44507,9799,,,,
98531,9325,5556,38542,2662,50244,3362,,,,
98532,8720,6433,51685,2692,61945,2416,,,,
98533,330,171,36033,15247,46417,11274,,,,
98535,227,170,33507,7204,32096,8771,,,,
98536,83,14,22750,62516,28771,30354,,,,
98537,842,572,55667,4878,63588,5949,,,,
98538,89,63,74375,28011,73591,16136,,,,
98541,3717,2608,45262,6212,57504,4992,,,,
98542,189,150,58550,5796,66085,18524,,,,
98544,0,0,-,**,-,**,,,,
98546,1137,826,64053,11029,71938,9968,,,,
98547,558,334,27069,10033,41313,9493,,,,
98548,1262,513,32105,12799,38143,5246,,,,
98550,4499,2749,38726,5245,51124,4637,,,,
98552,236,142,46750,29070,45357,7756,,,,
98555,177,123,31760,58714,66049,25083,,,,
98557,1155,781,52780,7180,58451,4837,,,,
98558,52,33,-,**,N,N,,,,
98559,29,29,-,**,N,N,,,,
98560,69,54,38750,23498,45893,7921,,,,
98562,36,36,-,**,N,N,,,,
98563,3325,2224,54750,8108,70082,9608,,,,
98564,997,684,45313,6711,56081,7187,,,,
98565,180,149,60833,13037,68625,12980,,,,
98568,944,679,46538,4870,54190,4971,,,,
98569,2810,1770,41685,10969,53201,6468,,,,
98570,1657,1165,43750,8244,55000,6828,,,,
98571,119,119,58401,52838,84559,60507,,,,
98572,330,211,47500,10266,52801,8617,,,,
98575,80,62,47250,22655,63138,13985,,,,
98576,1848,1409,57073,9167,68076,7566,,,,
98577,2727,1798,43229,3624,54249,4736,,,,
98579,4857,3652,58239,3697,68846,5572,,,,
98580,3921,3209,61516,5521,70791,5931,,,,
98581,128,66,36042,16669,34113,9076,,,,
98582,286,135,27262,42043,54414,20851,,,,
98583,51,30,25729,18928,35002,18695,,,,
98584,13196,8312,47826,2934,59349,2996,,,,
98585,284,159,62222,63350,83693,28935,,,,
98586,881,507,33393,5046,40607,5464,,,,
98587,258,186,29000,5768,46643,7307,,,,
98588,936,701,49306,14024,57827,12613,,,,
