cost,costval,income,incomeval,quality,insured,adjudicated_location_id,description,procedure_code,no_procedures
0.6762,52.62,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0.6408,39.46,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0.6762,52.62,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0.6408,39.46,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0.6408,39.46,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0.6762,52.62,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0.703,57.88,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0.6408,39.46,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0.6762,52.62,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0.7466,88.213333,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0.6762,52.62,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0.6572,44.783809,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0.6904,54.755,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0.6371,37.71,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0.6371,37.71,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0.6371,37.71,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0.6762,52.62,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0.6762,52.62,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0.7187,68.073333,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0.4888,18.278,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0.5612,31.97,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0.5612,31.97,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0.5612,31.97,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0.5612,31.97,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0.4869,17.54,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0.5612,31.97,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0.5482,30.73375,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0.626,35.0475,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0.6331,36.163333,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0.5612,31.97,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0.5612,31.97,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0.9578,540.94,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0.514,26.31,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0.514,26.31,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0.4415,9.139,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0,0,0.47,49521,31.9909,0.4887,84,Ct neck spine w/o dye,72125,72500
0.9519,497.65,0.33,34432,41.5556,0.2118,8,Ct neck spine w/o dye,72125,72500
0.9519,497.65,0.33,34432,41.5556,0.2118,8,Ct neck spine w/o dye,72125,72500
0.9519,497.65,0.33,34432,41.5556,0.2118,8,Ct neck spine w/o dye,72125,72500
0.9519,497.65,0.33,34432,41.5556,0.2118,8,Ct neck spine w/o dye,72125,72500
0.9519,497.65,0.33,34432,41.5556,0.2118,8,Ct neck spine w/o dye,72125,72500
0.4927,20.453333,0.33,34432,41.5556,0.2118,8,Ct neck spine w/o dye,72125,72500
0.7707,99.88,0.33,34432,41.5556,0.2118,8,Ct neck spine w/o dye,72125,72500
0.7707,99.88,0.33,34432,41.5556,0.2118,8,Ct neck spine w/o dye,72125,72500
0.7707,99.88,0.33,34432,41.5556,0.2118,8,Ct neck spine w/o dye,72125,72500
0.7707,99.88,0.33,34432,41.5556,0.2118,8,Ct neck spine w/o dye,72125,72500
0.7707,99.88,0.33,34432,41.5556,0.2118,8,Ct neck spine w/o dye,72125,72500
0.7707,99.88,0.33,34432,41.5556,0.2118,8,Ct neck spine w/o dye,72125,72500
0.7707,99.88,0.33,34432,41.5556,0.2118,8,Ct neck spine w/o dye,72125,72500
0.5316,30.68,0.33,34432,41.5556,0.2118,8,Ct neck spine w/o dye,72125,72500
0.5316,30.68,0.33,34432,41.5556,0.2118,8,Ct neck spine w/o dye,72125,72500
0.5316,30.68,0.33,34432,41.5556,0.2118,8,Ct neck spine w/o dye,72125,72500
0.5316,30.68,0.33,34432,41.5556,0.2118,8,Ct neck spine w/o dye,72125,72500
0.8342,158.8,0.58,66092,52.7111,0.1653,78,Ct neck spine w/o dye,72125,72500
0.8548,199.485,0.58,66092,52.7111,0.1653,78,Ct neck spine w/o dye,72125,72500
0.8548,199.485,0.58,66092,52.7111,0.1653,78,Ct neck spine w/o dye,72125,72500
0.8548,199.485,0.58,66092,52.7111,0.1653,78,Ct neck spine w/o dye,72125,72500
0.8548,199.485,0.58,66092,52.7111,0.1653,78,Ct neck spine w/o dye,72125,72500
0.8548,199.485,0.58,66092,52.7111,0.1653,78,Ct neck spine w/o dye,72125,72500
0.8548,199.485,0.58,66092,52.7111,0.1653,78,Ct neck spine w/o dye,72125,72500
0.707,61,0.58,66092,52.7111,0.1653,78,Ct neck spine w/o dye,72125,72500
0.707,61,0.58,66092,52.7111,0.1653,78,Ct neck spine w/o dye,72125,72500
0.6593,23.02,0.39,40583,21.6444,0.1576,65,Electrocardiogram tracing,93005,255178
0.6593,23.02,0.39,40583,21.6444,0.1576,65,Electrocardiogram tracing,93005,255178
0.6593,23.02,0.39,40583,21.6444,0.1576,65,Electrocardiogram tracing,93005,255178
0.6593,23.02,0.39,40583,21.6444,0.1576,65,Electrocardiogram tracing,93005,255178
0.6017,21.94,0.39,40921,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.6017,21.94,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.9047,50.62,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.6139,22.415,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
