Id,zip,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households
8600000US07112,7112,ZCTA5 07112,9370,310,36572,2295
8600000US07114,7114,ZCTA5 07114,4030,204,20954,2133
8600000US07201,7201,ZCTA5 07201,7778,353,42058,2288
8600000US07202,7202,ZCTA5 07202,13209,387,43563,2577
8600000US07203,7203,ZCTA5 07203,8234,392,43122,5068
8600000US07204,7204,ZCTA5 07204,5043,212,61122,6159
8600000US07205,7205,ZCTA5 07205,7204,278,59720,6709
8600000US07206,7206,ZCTA5 07206,7313,314,43738,4749
8600000US07208,7208,ZCTA5 07208,10958,328,46179,2237
8600000US07302,7302,ZCTA5 07302,18477,393,100336,3155
8600000US07304,7304,ZCTA5 07304,14967,394,45864,4050
8600000US07305,7305,ZCTA5 07305,21344,557,49101,2499
8600000US07306,7306,ZCTA5 07306,20329,460,48520,2889
8600000US07307,7307,ZCTA5 07307,15694,422,53551,2170
8600000US07310,7310,ZCTA5 07310,5513,297,152355,15200
8600000US07311,7311,ZCTA5 07311,230,76,198790,73981
8600000US07401,7401,ZCTA5 07401,2214,120,124821,24331
8600000US07403,7403,ZCTA5 07403,2829,170,73060,7545
8600000US07405,7405,ZCTA5 07405,6347,219,106403,6525
8600000US07407,7407,ZCTA5 07407,7086,267,67500,8135
8600000US07410,7410,ZCTA5 07410,11807,390,100755,5761
8600000US07416,7416,ZCTA5 07416,2317,130,68399,5564
8600000US07417,7417,ZCTA5 07417,3599,150,153657,27215
8600000US07418,7418,ZCTA5 07418,662,108,94453,23544
8600000US07419,7419,ZCTA5 07419,3789,196,83558,4141
8600000US07420,7420,ZCTA5 07420,1546,147,75104,13146
8600000US07421,7421,ZCTA5 07421,2624,171,92685,11199
8600000US07422,7422,ZCTA5 07422,2341,183,84282,10214
8600000US07423,7423,ZCTA5 07423,1406,111,153125,27793
8600000US07424,7424,ZCTA5 07424,9694,419,78625,4524
8600000US07430,7430,ZCTA5 07430,9426,344,102168,4802
8600000US07432,7432,ZCTA5 07432,2811,178,85966,10515
8600000US07435,7435,ZCTA5 07435,913,117,96103,17143
8600000US07436,7436,ZCTA5 07436,4275,125,117596,7902
8600000US07438,7438,ZCTA5 07438,4056,162,103364,9375
8600000US07439,7439,ZCTA5 07439,855,60,80313,10991
8600000US07440,7440,ZCTA5 07440,1669,179,97284,12485
8600000US07442,7442,ZCTA5 07442,4151,258,87284,5465
8600000US07444,7444,ZCTA5 07444,4652,258,83632,8007
8600000US07446,7446,ZCTA5 07446,5342,149,122165,7276
8600000US07450,7450,ZCTA5 07450,8270,212,141401,7959
8600000US07452,7452,ZCTA5 07452,3730,98,154615,12274
8600000US07456,7456,ZCTA5 07456,3746,202,106880,4521
8600000US07457,7457,ZCTA5 07457,1821,117,86382,17013
8600000US07458,7458,ZCTA5 07458,3608,188,168868,17830
8600000US07460,7460,ZCTA5 07460,1312,159,93214,12433
8600000US07461,7461,ZCTA5 07461,7023,275,83953,8915
8600000US07462,7462,ZCTA5 07462,2505,178,72829,14348
