Id,zip,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households
8600000US47901,47901,ZCTA5 47901,1863,216,29148,4833
8600000US47904,47904,ZCTA5 47904,6727,286,31741,2869
8600000US47905,47905,ZCTA5 47905,16717,374,51633,1724
8600000US47906,47906,ZCTA5 47906,22959,643,36813,2757
8600000US47907,47907,ZCTA5 47907,0,11,-,**
8600000US47909,47909,ZCTA5 47909,15584,444,52663,2599
8600000US47916,47916,ZCTA5 47916,24,15,51250,50432
8600000US47917,47917,ZCTA5 47917,205,57,35893,13921
8600000US47918,47918,ZCTA5 47918,2430,147,43516,1776
8600000US47920,47920,ZCTA5 47920,886,131,57604,10614
8600000US47921,47921,ZCTA5 47921,438,68,49688,10120
8600000US47922,47922,ZCTA5 47922,575,80,49205,8168
8600000US47923,47923,ZCTA5 47923,1405,87,61875,5460
8600000US47924,47924,ZCTA5 47924,58,39,51346,32335
8600000US47925,47925,ZCTA5 47925,65,47,55243,26700
8600000US47926,47926,ZCTA5 47926,350,66,52500,11266
8600000US47928,47928,ZCTA5 47928,815,96,48250,8574
8600000US47929,47929,ZCTA5 47929,235,42,53438,10598
8600000US47930,47930,ZCTA5 47930,447,89,62813,24546
8600000US47932,47932,ZCTA5 47932,2133,130,53039,3625
8600000US47933,47933,ZCTA5 47933,10745,300,43522,2660
8600000US47940,47940,ZCTA5 47940,485,70,59688,14790
8600000US47941,47941,ZCTA5 47941,511,63,59792,14492
8600000US47942,47942,ZCTA5 47942,304,44,53056,6120
8600000US47943,47943,ZCTA5 47943,317,80,74112,31617
8600000US47944,47944,ZCTA5 47944,1387,82,47120,3494
8600000US47946,47946,ZCTA5 47946,863,104,45197,6226
8600000US47948,47948,ZCTA5 47948,562,67,47222,7806
8600000US47949,47949,ZCTA5 47949,604,85,50431,11313
8600000US47950,47950,ZCTA5 47950,336,62,45682,8280
8600000US47951,47951,ZCTA5 47951,940,66,41543,3376
8600000US47952,47952,ZCTA5 47952,1123,117,37604,6519
8600000US47954,47954,ZCTA5 47954,952,95,56510,4486
8600000US47955,47955,ZCTA5 47955,404,72,44896,11475
8600000US47957,47957,ZCTA5 47957,724,89,40469,6296
8600000US47958,47958,ZCTA5 47958,93,29,29375,18183
8600000US47959,47959,ZCTA5 47959,1037,101,38393,5013
8600000US47960,47960,ZCTA5 47960,6045,308,51195,3500
8600000US47963,47963,ZCTA5 47963,775,92,45433,4540
8600000US47964,47964,ZCTA5 47964,57,16,37250,7343
8600000US47965,47965,ZCTA5 47965,237,52,47321,11129
8600000US47966,47966,ZCTA5 47966,165,38,42614,5085
8600000US47967,47967,ZCTA5 47967,293,63,54345,11778
8600000US47968,47968,ZCTA5 47968,248,48,52188,12337
8600000US47969,47969,ZCTA5 47969,67,32,73750,26206
8600000US47970,47970,ZCTA5 47970,830,108,49667,15973
8600000US47971,47971,ZCTA5 47971,774,66,45625,8962
8600000US47974,47974,ZCTA5 47974,501,69,47964,3613
8600000US47975,47975,ZCTA5 47975,251,59,52431,9243
8600000US47977,47977,ZCTA5 47977,865,87,50847,6119
8600000US47978,47978,ZCTA5 47978,4046,203,52561,3465
8600000US47980,47980,ZCTA5 47980,426,65,63750,15338
8600000US47981,47981,ZCTA5 47981,308,71,88571,34327
8600000US47982,47982,ZCTA5 47982,63,25,53125,26135
8600000US47983,47983,ZCTA5 47983,91,45,46063,36483
8600000US47987,47987,ZCTA5 47987,1594,117,48167,8101
8600000US47989,47989,ZCTA5 47989,530,89,49615,7490
8600000US47990,47990,ZCTA5 47990,674,90,47444,6376
8600000US47991,47991,ZCTA5 47991,440,83,43750,9306
8600000US47992,47992,ZCTA5 47992,654,106,54800,16270
8600000US47993,47993,ZCTA5 47993,1527,120,56534,8184
8600000US47994,47994,ZCTA5 47994,165,44,37250,8585
8600000US47995,47995,ZCTA5 47995,624,69,55982,6011
8600000US47997,47997,ZCTA5 47997,50,19,36250,17555
8600000US48001,48001,ZCTA5 48001,5252,175,45523,4169
8600000US48002,48002,ZCTA5 48002,1198,102,63462,3754
8600000US48003,48003,ZCTA5 48003,2270,130,53254,4691
8600000US48005,48005,ZCTA5 48005,1962,71,74866,5327
8600000US48006,48006,ZCTA5 48006,1476,73,57902,3336
8600000US48009,48009,ZCTA5 48009,8733,205,107161,6465
8600000US48014,48014,ZCTA5 48014,1491,109,52044,4180
8600000US48015,48015,ZCTA5 48015,3600,180,31675,2645
8600000US48017,48017,ZCTA5 48017,5417,177,54021,3632
8600000US48021,48021,ZCTA5 48021,12366,286,41161,3198
8600000US48022,48022,ZCTA5 48022,931,49,65250,11337
8600000US48023,48023,ZCTA5 48023,2072,126,48904,8075
8600000US48025,48025,ZCTA5 48025,5621,175,106472,5188
8600000US48026,48026,ZCTA5 48026,6163,167,51230,2417
8600000US48027,48027,ZCTA5 48027,1277,68,57004,3583
8600000US48028,48028,ZCTA5 48028,534,59,68571,7876
8600000US48030,48030,ZCTA5 48030,6822,310,31596,2220
8600000US48032,48032,ZCTA5 48032,884,79,60221,5335
8600000US48033,48033,ZCTA5 48033,7556,281,44643,2266
8600000US48034,48034,ZCTA5 48034,6978,252,42427,3523
8600000US48035,48035,ZCTA5 48035,14538,314,43163,2435
8600000US48036,48036,ZCTA5 48036,9299,258,45161,4132
8600000US48038,48038,ZCTA5 48038,18942,415,53110,2604
8600000US48039,48039,ZCTA5 48039,3158,117,46477,4466
8600000US48040,48040,ZCTA5 48040,4227,118,53786,5124
8600000US48041,48041,ZCTA5 48041,1644,97,57333,6170
8600000US48042,48042,ZCTA5 48042,9443,246,84312,4503
8600000US48043,48043,ZCTA5 48043,6886,309,36397,2568
8600000US48044,48044,ZCTA5 48044,18224,336,84449,3003
8600000US48045,48045,ZCTA5 48045,11025,332,54561,3549
8600000US48047,48047,ZCTA5 48047,15154,420,69706,4029
8600000US48048,48048,ZCTA5 48048,2531,193,54580,3653
8600000US48049,48049,ZCTA5 48049,2106,87,55833,6208
8600000US48050,48050,ZCTA5 48050,741,120,55766,9204
8600000US48051,48051,ZCTA5 48051,5813,243,67712,7270
8600000US48054,48054,ZCTA5 48054,2823,146,60048,7463
8600000US48059,48059,ZCTA5 48059,6174,215,51354,3479
8600000US48060,48060,ZCTA5 48060,16024,357,35561,1826
8600000US48062,48062,ZCTA5 48062,3526,185,55317,4478
8600000US48063,48063,ZCTA5 48063,1476,76,59167,7534
8600000US48064,48064,ZCTA5 48064,1459,76,57554,3826
8600000US48065,48065,ZCTA5 48065,3875,146,73302,5342
8600000US48066,48066,ZCTA5 48066,19702,380,40586,1253
8600000US48067,48067,ZCTA5 48067,12270,292,68107,3390
8600000US48069,48069,ZCTA5 48069,1138,42,100543,15228
8600000US48070,48070,ZCTA5 48070,2409,75,113750,6705
8600000US48071,48071,ZCTA5 48071,12945,391,40820,1619
8600000US48072,48072,ZCTA5 48072,6618,162,70625,3662
8600000US48073,48073,ZCTA5 48073,15999,326,60914,4289
8600000US48074,48074,ZCTA5 48074,3695,154,44759,5644
8600000US48075,48075,ZCTA5 48075,9006,268,53861,2296
8600000US48076,48076,ZCTA5 48076,9940,295,62516,4047
8600000US48079,48079,ZCTA5 48079,4913,157,60362,4241
8600000US48080,48080,ZCTA5 48080,10716,251,50740,1751
8600000US48081,48081,ZCTA5 48081,8819,219,57277,2573
8600000US48082,48082,ZCTA5 48082,7114,186,52804,3497
8600000US48083,48083,ZCTA5 48083,9119,196,65547,2084
8600000US48084,48084,ZCTA5 48084,6150,215,82670,5907
8600000US48085,48085,ZCTA5 48085,8275,230,92065,3853
8600000US48088,48088,ZCTA5 48088,9229,262,55876,2323
8600000US48089,48089,ZCTA5 48089,11577,326,34853,2095
8600000US48091,48091,ZCTA5 48091,11834,348,34291,2407
8600000US48092,48092,ZCTA5 48092,10421,277,47241,2420
8600000US48093,48093,ZCTA5 48093,9875,244,49152,4064
8600000US48094,48094,ZCTA5 48094,6822,242,77839,5372
8600000US48095,48095,ZCTA5 48095,1834,108,96810,13902
8600000US48096,48096,ZCTA5 48096,1521,61,78326,10863
8600000US48097,48097,ZCTA5 48097,1993,94,46925,4319
8600000US48098,48098,ZCTA5 48098,7091,171,108281,6782
8600000US48101,48101,ZCTA5 48101,10943,233,60767,4046
8600000US48103,48103,ZCTA5 48103,23238,418,78631,3556
8600000US48104,48104,ZCTA5 48104,14872,441,48487,3910
8600000US48105,48105,ZCTA5 48105,14769,353,60999,3525
8600000US48108,48108,ZCTA5 48108,10951,315,59606,3973
8600000US48109,48109,ZCTA5 48109,0,14,-,**
8600000US48111,48111,ZCTA5 48111,16494,460,53647,1862
8600000US48114,48114,ZCTA5 48114,7453,178,86298,2957
8600000US48116,48116,ZCTA5 48116,10764,215,76900,3094
8600000US48117,48117,ZCTA5 48117,3853,157,56130,8016
8600000US48118,48118,ZCTA5 48118,5255,212,70502,4486
8600000US48120,48120,ZCTA5 48120,2252,132,45805,7408
8600000US48122,48122,ZCTA5 48122,4217,288,33735,3655
8600000US48124,48124,ZCTA5 48124,12627,317,59620,3218
8600000US48125,48125,ZCTA5 48125,7701,221,47146,3835
8600000US48126,48126,ZCTA5 48126,12809,285,28524,1401
8600000US48127,48127,ZCTA5 48127,13283,337,43652,1686
8600000US48128,48128,ZCTA5 48128,3959,130,76354,5917
8600000US48130,48130,ZCTA5 48130,5440,251,93977,5538
8600000US48131,48131,ZCTA5 48131,2795,167,53839,4214
8600000US48133,48133,ZCTA5 48133,2239,158,50444,7188
8600000US48134,48134,ZCTA5 48134,7708,258,61312,4214
8600000US48135,48135,ZCTA5 48135,10272,242,51498,2707
8600000US48137,48137,ZCTA5 48137,1761,163,71888,8484
8600000US48138,48138,ZCTA5 48138,4073,128,92674,8289
8600000US48139,48139,ZCTA5 48139,74,61,42404,322881
8600000US48140,48140,ZCTA5 48140,1273,100,76033,10347
8600000US48141,48141,ZCTA5 48141,9466,405,27849,2992
8600000US48143,48143,ZCTA5 48143,0,10,-,**
8600000US48144,48144,ZCTA5 48144,3791,160,67347,5110
8600000US48145,48145,ZCTA5 48145,1431,90,69283,6252
8600000US48146,48146,ZCTA5 48146,14614,329,40032,2099
8600000US48150,48150,ZCTA5 48150,10393,207,65060,3348
8600000US48152,48152,ZCTA5 48152,12366,187,67509,3015
8600000US48154,48154,ZCTA5 48154,14503,228,72394,2217
8600000US48157,48157,ZCTA5 48157,621,62,52986,7846
8600000US48158,48158,ZCTA5 48158,2951,112,69792,6660
8600000US48159,48159,ZCTA5 48159,893,97,62784,7611
8600000US48160,48160,ZCTA5 48160,4567,222,69085,5259
8600000US48161,48161,ZCTA5 48161,10147,270,43565,3201
8600000US48162,48162,ZCTA5 48162,11494,313,48156,2900
8600000US48164,48164,ZCTA5 48164,3171,255,77909,9338
8600000US48165,48165,ZCTA5 48165,2445,185,60208,7864
8600000US48166,48166,ZCTA5 48166,4049,254,63431,8501
8600000US48167,48167,ZCTA5 48167,9165,259,80012,3951
8600000US48168,48168,ZCTA5 48168,7888,256,129821,8568
8600000US48169,48169,ZCTA5 48169,7953,228,74009,3140
8600000US48170,48170,ZCTA5 48170,16165,328,77191,2648
8600000US48173,48173,ZCTA5 48173,4682,216,68806,5626
8600000US48174,48174,ZCTA5 48174,11597,421,44918,2313
8600000US48176,48176,ZCTA5 48176,7981,254,89063,8851
8600000US48177,48177,ZCTA5 48177,101,48,50703,69666
8600000US48178,48178,ZCTA5 48178,11641,341,74158,3785
8600000US48179,48179,ZCTA5 48179,1241,104,63036,4464
8600000US48180,48180,ZCTA5 48180,23553,463,41742,1426
8600000US48182,48182,ZCTA5 48182,8301,227,62505,3318
8600000US48183,48183,ZCTA5 48183,17074,343,57623,4015
8600000US48184,48184,ZCTA5 48184,6882,257,39390,2072
8600000US48185,48185,ZCTA5 48185,20965,501,43405,1892
8600000US48186,48186,ZCTA5 48186,13044,274,44632,2569
8600000US48187,48187,ZCTA5 48187,17075,250,76832,1953
8600000US48188,48188,ZCTA5 48188,14006,280,90099,3768
8600000US48189,48189,ZCTA5 48189,5547,250,58549,6348
8600000US48190,48190,ZCTA5 48190,28,27,53571,79568
8600000US48191,48191,ZCTA5 48191,1231,127,67346,7654
8600000US48192,48192,ZCTA5 48192,10611,284,51074,3045
8600000US48193,48193,ZCTA5 48193,5912,230,49922,5306
8600000US48195,48195,ZCTA5 48195,12749,319,48924,2622
8600000US48197,48197,ZCTA5 48197,24355,539,50083,1854
8600000US48198,48198,ZCTA5 48198,15630,369,40924,1738
8600000US48201,48201,ZCTA5 48201,6741,306,12851,1275
8600000US48202,48202,ZCTA5 48202,7236,302,19907,2600
8600000US48203,48203,ZCTA5 48203,9735,360,22891,2166
8600000US48204,48204,ZCTA5 48204,9872,413,21583,1523
8600000US48205,48205,ZCTA5 48205,13089,474,27317,1811
8600000US48206,48206,ZCTA5 48206,7016,346,20702,1837
8600000US48207,48207,ZCTA5 48207,10972,265,25340,1520
8600000US48208,48208,ZCTA5 48208,3967,254,18660,1496
8600000US48209,48209,ZCTA5 48209,9582,356,26346,2253
8600000US48210,48210,ZCTA5 48210,9024,358,25946,2271
8600000US48211,48211,ZCTA5 48211,2037,157,19058,2442
8600000US48212,48212,ZCTA5 48212,10934,375,23592,1608
8600000US48213,48213,ZCTA5 48213,8981,342,20914,1419
8600000US48214,48214,ZCTA5 48214,9305,399,24274,3320
8600000US48215,48215,ZCTA5 48215,4874,243,21633,2042
8600000US48216,48216,ZCTA5 48216,2033,168,22762,4270
8600000US48217,48217,ZCTA5 48217,3054,206,23424,3553
8600000US48218,48218,ZCTA5 48218,2828,201,26661,2586
8600000US48219,48219,ZCTA5 48219,17783,510,30979,2437
8600000US48220,48220,ZCTA5 48220,10444,460,47284,3736
8600000US48221,48221,ZCTA5 48221,14341,401,37693,2511
8600000US48223,48223,ZCTA5 48223,9008,330,32946,2036
8600000US48224,48224,ZCTA5 48224,14572,414,30262,2094
8600000US48225,48225,ZCTA5 48225,5679,242,47359,2686
8600000US48226,48226,ZCTA5 48226,3282,222,35320,5861
8600000US48227,48227,ZCTA5 48227,15144,424,29027,2237
8600000US48228,48228,ZCTA5 48228,18537,514,23767,1857
8600000US48229,48229,ZCTA5 48229,3521,232,29637,2877
8600000US48230,48230,ZCTA5 48230,6449,173,99714,10136
8600000US48233,48233,ZCTA5 48233,0,10,-,**
8600000US48234,48234,ZCTA5 48234,12074,397,26110,2162
8600000US48235,48235,ZCTA5 48235,17238,460,29384,1990
8600000US48236,48236,ZCTA5 48236,11661,212,94515,2846
8600000US48237,48237,ZCTA5 48237,11385,467,47292,3221
8600000US48238,48238,ZCTA5 48238,11182,437,23109,1470
8600000US48239,48239,ZCTA5 48239,13576,359,50346,2297
8600000US48240,48240,ZCTA5 48240,6561,221,48454,3194
8600000US48242,48242,ZCTA5 48242,0,10,-,**
8600000US48243,48243,ZCTA5 48243,0,10,-,**
8600000US48301,48301,ZCTA5 48301,5391,198,117813,9066
8600000US48302,48302,ZCTA5 48302,6227,201,115505,9914
8600000US48304,48304,ZCTA5 48304,6370,196,107345,3936
8600000US48306,48306,ZCTA5 48306,9626,227,122446,3725
8600000US48307,48307,ZCTA5 48307,16975,344,67162,3674
8600000US48309,48309,ZCTA5 48309,10954,198,88161,4617
8600000US48310,48310,ZCTA5 48310,14918,300,53885,4683
8600000US48312,48312,ZCTA5 48312,13077,289,57289,3426
8600000US48313,48313,ZCTA5 48313,13271,298,61781,2471
8600000US48314,48314,ZCTA5 48314,8077,220,61018,4576
8600000US48315,48315,ZCTA5 48315,10013,228,70210,6247
8600000US48316,48316,ZCTA5 48316,10043,257,72261,3101
8600000US48317,48317,ZCTA5 48317,11125,266,53279,3433
8600000US48320,48320,ZCTA5 48320,2037,127,49036,6258
8600000US48322,48322,ZCTA5 48322,12148,237,80113,3880
8600000US48323,48323,ZCTA5 48323,6358,234,108816,7119
8600000US48324,48324,ZCTA5 48324,6467,211,95290,8285
8600000US48326,48326,ZCTA5 48326,8917,312,53409,2886
8600000US48327,48327,ZCTA5 48327,9727,262,51181,2704
8600000US48328,48328,ZCTA5 48328,10836,306,45689,3597
8600000US48329,48329,ZCTA5 48329,9561,298,67376,4388
8600000US48331,48331,ZCTA5 48331,8647,238,98046,6105
8600000US48334,48334,ZCTA5 48334,7887,247,67400,6525
8600000US48335,48335,ZCTA5 48335,10593,277,63597,2856
8600000US48336,48336,ZCTA5 48336,10961,281,54901,3638
8600000US48340,48340,ZCTA5 48340,9788,370,29572,2366
8600000US48341,48341,ZCTA5 48341,6581,314,32437,3996
8600000US48342,48342,ZCTA5 48342,7026,401,19532,2188
8600000US48346,48346,ZCTA5 48346,9134,256,62998,3356
8600000US48348,48348,ZCTA5 48348,8091,231,94932,4486
8600000US48350,48350,ZCTA5 48350,2545,180,79735,9070
8600000US48353,48353,ZCTA5 48353,2284,142,73507,6751
8600000US48356,48356,ZCTA5 48356,3261,150,67463,3419
8600000US48357,48357,ZCTA5 48357,3127,125,72520,7075
8600000US48359,48359,ZCTA5 48359,3009,159,62971,8279
8600000US48360,48360,ZCTA5 48360,4226,135,90980,6532
8600000US48362,48362,ZCTA5 48362,5695,198,76841,5278
8600000US48363,48363,ZCTA5 48363,1876,120,103955,13777
8600000US48367,48367,ZCTA5 48367,1689,132,72755,7955
8600000US48370,48370,ZCTA5 48370,642,81,93542,18638
8600000US48371,48371,ZCTA5 48371,8495,236,72362,4939
8600000US48374,48374,ZCTA5 48374,4831,157,142038,15880
8600000US48375,48375,ZCTA5 48375,8885,243,81233,4758
8600000US48377,48377,ZCTA5 48377,7650,260,57032,3002
8600000US48380,48380,ZCTA5 48380,2513,162,90302,12345
8600000US48381,48381,ZCTA5 48381,5033,188,76409,10023
8600000US48382,48382,ZCTA5 48382,7840,211,92021,5094
8600000US48383,48383,ZCTA5 48383,4678,175,71047,4519
8600000US48386,48386,ZCTA5 48386,6952,211,72475,7375
8600000US48390,48390,ZCTA5 48390,9820,262,65338,2741
8600000US48393,48393,ZCTA5 48393,7144,311,48210,3573
8600000US48397,48397,ZCTA5 48397,0,10,-,**
8600000US48401,48401,ZCTA5 48401,568,61,39000,9256
8600000US48411,48411,ZCTA5 48411,38,35,6250,10092
8600000US48412,48412,ZCTA5 48412,2154,136,53784,5150
8600000US48413,48413,ZCTA5 48413,2916,164,41709,3545
8600000US48414,48414,ZCTA5 48414,1007,81,49911,5019
8600000US48415,48415,ZCTA5 48415,3563,175,56752,4425
8600000US48416,48416,ZCTA5 48416,1726,98,44231,5275
8600000US48417,48417,ZCTA5 48417,990,95,48333,7616
8600000US48418,48418,ZCTA5 48418,1557,116,61289,6448
8600000US48419,48419,ZCTA5 48419,1101,70,40518,5235
8600000US48420,48420,ZCTA5 48420,8475,260,49873,2791
8600000US48421,48421,ZCTA5 48421,2281,159,54805,3428
8600000US48422,48422,ZCTA5 48422,2441,171,39306,5553
8600000US48423,48423,ZCTA5 48423,13363,266,50741,1585
8600000US48426,48426,ZCTA5 48426,380,38,41912,5722
8600000US48427,48427,ZCTA5 48427,1083,83,41417,2631
8600000US48428,48428,ZCTA5 48428,1749,129,67950,7270
8600000US48429,48429,ZCTA5 48429,3304,195,42794,3113
8600000US48430,48430,ZCTA5 48430,14086,326,62105,3429
8600000US48432,48432,ZCTA5 48432,297,35,47417,5419
8600000US48433,48433,ZCTA5 48433,10346,280,58310,2844
8600000US48434,48434,ZCTA5 48434,26,10,46250,24989
8600000US48435,48435,ZCTA5 48435,730,84,46667,5081
8600000US48436,48436,ZCTA5 48436,1410,111,64420,4859
8600000US48437,48437,ZCTA5 48437,242,57,58750,45719
8600000US48438,48438,ZCTA5 48438,2511,161,73711,9733
8600000US48439,48439,ZCTA5 48439,18879,418,59869,3041
8600000US48440,48440,ZCTA5 48440,102,54,70738,3346
8600000US48441,48441,ZCTA5 48441,1667,88,39523,2607
8600000US48442,48442,ZCTA5 48442,7729,265,67069,3017
8600000US48444,48444,ZCTA5 48444,3215,145,48286,3296
8600000US48445,48445,ZCTA5 48445,585,47,33355,4393
8600000US48446,48446,ZCTA5 48446,11828,248,50007,2084
8600000US48449,48449,ZCTA5 48449,1082,113,49621,5861
8600000US48450,48450,ZCTA5 48450,2049,150,44045,3266
8600000US48451,48451,ZCTA5 48451,5230,165,66994,6857
8600000US48453,48453,ZCTA5 48453,1817,104,38786,2471
8600000US48454,48454,ZCTA5 48454,443,45,46012,4258
8600000US48455,48455,ZCTA5 48455,3064,166,68475,4818
8600000US48456,48456,ZCTA5 48456,339,47,49028,2653
8600000US48457,48457,ZCTA5 48457,3026,196,41333,1542
8600000US48458,48458,ZCTA5 48458,8015,305,33694,1849
8600000US48460,48460,ZCTA5 48460,836,66,52845,3645
8600000US48461,48461,ZCTA5 48461,2917,162,51387,4765
8600000US48462,48462,ZCTA5 48462,4701,204,77172,4467
8600000US48463,48463,ZCTA5 48463,1797,110,48254,3840
8600000US48464,48464,ZCTA5 48464,769,66,56285,4837
8600000US48465,48465,ZCTA5 48465,252,34,49125,2630
8600000US48466,48466,ZCTA5 48466,564,48,43958,6722
8600000US48467,48467,ZCTA5 48467,1187,73,39848,2633
8600000US48468,48468,ZCTA5 48468,681,49,39301,3153
8600000US48469,48469,ZCTA5 48469,516,69,50192,9394
8600000US48470,48470,ZCTA5 48470,307,38,45521,6366
8600000US48471,48471,ZCTA5 48471,2159,117,36563,3009
8600000US48472,48472,ZCTA5 48472,641,62,44338,7625
8600000US48473,48473,ZCTA5 48473,8612,288,56375,2194
8600000US48475,48475,ZCTA5 48475,1001,52,43650,3662
8600000US48476,48476,ZCTA5 48476,303,65,53958,7882
8600000US48502,48502,ZCTA5 48502,235,79,29519,18068
8600000US48503,48503,ZCTA5 48503,11199,405,25467,3462
8600000US48504,48504,ZCTA5 48504,11516,399,28422,1804
8600000US48505,48505,ZCTA5 48505,8665,328,20829,1383
8600000US48506,48506,ZCTA5 48506,11399,310,32888,1988
8600000US48507,48507,ZCTA5 48507,12971,420,31982,2701
8600000US48509,48509,ZCTA5 48509,3734,202,51355,4137
8600000US48519,48519,ZCTA5 48519,3294,213,40745,2488
8600000US48529,48529,ZCTA5 48529,3692,213,29956,3825
8600000US48532,48532,ZCTA5 48532,8226,303,41246,2479
8600000US48551,48551,ZCTA5 48551,0,10,-,**
8600000US48553,48553,ZCTA5 48553,0,10,-,**
8600000US48554,48554,ZCTA5 48554,0,10,-,**
8600000US48601,48601,ZCTA5 48601,14328,422,26578,1685
8600000US48602,48602,ZCTA5 48602,11574,344,34942,1640
8600000US48603,48603,ZCTA5 48603,11897,296,49015,2433
8600000US48604,48604,ZCTA5 48604,4322,255,45718,4838
8600000US48607,48607,ZCTA5 48607,708,124,20833,5423
8600000US48609,48609,ZCTA5 48609,4828,164,54467,2729
8600000US48610,48610,ZCTA5 48610,1450,118,40795,4578
8600000US48611,48611,ZCTA5 48611,2641,180,64353,7821
8600000US48612,48612,ZCTA5 48612,3875,152,37939,3188
8600000US48613,48613,ZCTA5 48613,416,44,39750,5394
8600000US48614,48614,ZCTA5 48614,513,46,47841,7715
8600000US48615,48615,ZCTA5 48615,1200,95,47703,3925
8600000US48616,48616,ZCTA5 48616,2922,130,43530,1982
8600000US48617,48617,ZCTA5 48617,3402,188,39102,2838
8600000US48618,48618,ZCTA5 48618,2257,110,42485,3073
8600000US48619,48619,ZCTA5 48619,205,39,36250,11933
8600000US48621,48621,ZCTA5 48621,559,62,30625,6417
8600000US48622,48622,ZCTA5 48622,2534,167,39578,3684
8600000US48623,48623,ZCTA5 48623,4833,227,68531,3549
8600000US48624,48624,ZCTA5 48624,6752,202,36734,1792
8600000US48625,48625,ZCTA5 48625,5924,234,30015,1671
8600000US48626,48626,ZCTA5 48626,2282,116,61768,3024
8600000US48627,48627,ZCTA5 48627,69,30,42031,28175
8600000US48628,48628,ZCTA5 48628,857,76,41477,9041
8600000US48629,48629,ZCTA5 48629,3830,244,30380,4038
8600000US48630,48630,ZCTA5 48630,29,25,29028,5509
8600000US48631,48631,ZCTA5 48631,1693,150,55844,8714
8600000US48632,48632,ZCTA5 48632,2180,117,35184,2990
8600000US48633,48633,ZCTA5 48633,84,33,34773,3357
8600000US48634,48634,ZCTA5 48634,1848,166,53333,5686
8600000US48635,48635,ZCTA5 48635,746,69,37500,5077
8600000US48636,48636,ZCTA5 48636,470,90,33269,7125
8600000US48637,48637,ZCTA5 48637,1341,83,49321,5182
8600000US48638,48638,ZCTA5 48638,5606,229,52056,6104
8600000US48640,48640,ZCTA5 48640,12912,286,54195,3403
8600000US48642,48642,ZCTA5 48642,13099,359,54015,3133
8600000US48647,48647,ZCTA5 48647,1787,135,33174,3103
8600000US48649,48649,ZCTA5 48649,533,57,55815,5083
8600000US48650,48650,ZCTA5 48650,2872,122,44722,3118
8600000US48651,48651,ZCTA5 48651,2395,157,34111,3110
8600000US48652,48652,ZCTA5 48652,614,50,44250,3037
8600000US48653,48653,ZCTA5 48653,4488,191,39259,1705
8600000US48654,48654,ZCTA5 48654,1012,77,33698,2594
8600000US48655,48655,ZCTA5 48655,2477,106,49912,3312
8600000US48656,48656,ZCTA5 48656,2046,141,29220,2844
8600000US48657,48657,ZCTA5 48657,3358,149,50980,5867
8600000US48658,48658,ZCTA5 48658,2014,90,37115,4740
8600000US48659,48659,ZCTA5 48659,1064,76,41250,5312
8600000US48661,48661,ZCTA5 48661,4423,164,39176,1461
8600000US48662,48662,ZCTA5 48662,594,63,50893,11082
8600000US48667,48667,ZCTA5 48667,0,10,-,**
8600000US48701,48701,ZCTA5 48701,567,57,39750,4007
8600000US48703,48703,ZCTA5 48703,1403,89,37648,2381
8600000US48705,48705,ZCTA5 48705,237,42,31750,4479
8600000US48706,48706,ZCTA5 48706,16558,323,45438,2292
8600000US48708,48708,ZCTA5 48708,11128,281,38399,1980
8600000US48710,48710,ZCTA5 48710,0,10,-,**
8600000US48720,48720,ZCTA5 48720,444,48,40000,7692
8600000US48721,48721,ZCTA5 48721,171,25,39107,8520
8600000US48722,48722,ZCTA5 48722,1404,117,44286,6508
8600000US48723,48723,ZCTA5 48723,4933,161,42707,2890
8600000US48724,48724,ZCTA5 48724,126,46,38409,21258
8600000US48725,48725,ZCTA5 48725,1184,99,33306,5201
8600000US48726,48726,ZCTA5 48726,2352,107,46505,2413
8600000US48727,48727,ZCTA5 48727,479,47,43042,3962
8600000US48728,48728,ZCTA5 48728,166,29,34250,4955
8600000US48729,48729,ZCTA5 48729,578,58,41250,5031
8600000US48730,48730,ZCTA5 48730,2041,124,42411,6005
8600000US48731,48731,ZCTA5 48731,668,53,38095,3888
8600000US48732,48732,ZCTA5 48732,4764,200,51217,6115
8600000US48733,48733,ZCTA5 48733,708,56,41065,1901
8600000US48734,48734,ZCTA5 48734,3229,186,51936,3791
8600000US48735,48735,ZCTA5 48735,388,47,39659,4130
8600000US48737,48737,ZCTA5 48737,578,56,32037,3380
8600000US48738,48738,ZCTA5 48738,662,78,43300,5434
8600000US48739,48739,ZCTA5 48739,1838,134,37206,2631
8600000US48740,48740,ZCTA5 48740,1105,81,37669,3904
8600000US48741,48741,ZCTA5 48741,786,61,43654,4617
8600000US48742,48742,ZCTA5 48742,724,56,38750,4286
8600000US48743,48743,ZCTA5 48743,19,11,37750,6963
8600000US48744,48744,ZCTA5 48744,1746,138,44500,3271
8600000US48745,48745,ZCTA5 48745,564,64,39167,5591
8600000US48746,48746,ZCTA5 48746,3178,167,44858,3806
8600000US48747,48747,ZCTA5 48747,617,94,62232,10121
8600000US48748,48748,ZCTA5 48748,861,90,36953,2678
8600000US48749,48749,ZCTA5 48749,447,50,40781,11149
8600000US48750,48750,ZCTA5 48750,3936,187,33497,2058
8600000US48754,48754,ZCTA5 48754,337,38,45563,4537
8600000US48755,48755,ZCTA5 48755,1387,102,43839,4411
